GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.observability,MetricsAnnotationsConfiguration,13,0,0,0,3,0,3,0,3,0
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.i18n,ResourceBundleTranslator,29,218,3,3,7,47,5,9,2,9
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.i18n,ResourceBundleTranslator.UnicodeResourceBundleControl,0,45,0,2,0,9,0,2,0,1
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.libravatar,AvatarImpl,20,82,0,6,4,14,1,5,1,2
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.libravatar,AvatarGenerator,8,8,0,0,1,1,1,1,1,1
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.resources,HistoryImpl,4,0,0,0,1,0,1,0,1,0
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.resources,StatusImpl,19,0,0,0,8,0,2,0,2,0
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.resources,DefaultResourceSpecImpl,68,0,4,0,16,0,7,0,5,0
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.resources,MetadataImpl,25,11,0,0,11,3,4,1,4,1
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.resources,PointerImpl,4,0,0,0,1,0,1,0,1,0
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.resources,ResourceImpl,39,24,0,0,12,7,7,5,7,5
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.resources,PagingImpl,2,89,1,5,1,20,1,8,0,6
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.store,GenericStoreService,23,166,1,9,4,32,1,14,0,10
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.user,UserDataImpl,2,12,0,0,1,4,1,1,1,1
de.kaiserpfalz-edv.commons.core:kp-commons-core,de.kaiserpfalzedv.commons.core.user,MemoryUserStore,0,3,0,0,0,1,0,1,0,1
