GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.mapper,ResponseErrorMapper,79,3,15,0,16,1,15,1,1,1
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.mapper,Sms77RequestLimitReachedException,5,0,0,0,2,0,1,0,1,0
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.mapper,Sms77InvalidAuthException,10,0,0,0,4,0,2,0,2,0
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.mapper,Sms77RateLimitException,5,0,0,0,2,0,1,0,1,0
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.mapper,Sms77NotEnoughCreditsException,5,0,0,0,2,0,1,0,1,0
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.mapper,Sms77TooManyDailyCallsForThisNumberException,5,0,0,0,2,0,1,0,1,0
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.mapper,Sms77ReloadException,5,0,0,0,2,0,1,0,1,0
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.mapper,Sms77Exception,7,0,0,0,3,0,1,0,1,0
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.mapper,Sms77SendingFailedException,5,0,0,0,2,0,1,0,1,0
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.filter,Sms77RequestReportFilter,0,19,0,0,0,6,0,3,0,3
kp-commons-sms77,de.kaiserpfalzedv.services.sms77.client,Sms77ClientConfig,0,33,0,0,0,5,0,3,0,3
